,Mean,Std
accuracy,0.9543217781029909,0.002733753291143683
macro_f1,0.9244274816733669,0.0046718684613915856
drusen_f1,0.8435996438532387,0.009646457833140675
macro_auc,0.994117753519097,0.000555775020491533
ece_raw,0.00270892815032511,0.0012481956610911123
ece_cal,0.0023542587186633247,0.00045548201795330947
temperature,1.0077824949072665,0.026970586085397284
mcnemar_p,6.09202141488064e-05,9.423143731354963e-05
